Dates,Max-Temp,Min-temp,Hum-max,Hum-min,Evaporation,Average Wind Speed,Wind Direction,Rainfall
01-01-2022,25.5,13.8,94,,2.2,1.5,NE,0
02-01-2022,32.4,18,78,56.1,5.4,2.4,,
03-01-2022,27.5,13.5,88,55,2.7,2.4,NE,0
04-01-2022,28,13.6,89,52,3,0.2,NE,0
05-01-2022,29.2,13.2,90,48,3.2,2.7,East,0
06-01-2022,30,12.6,90,48.4,3.2,4.5,East,0
07-01-2022,30.1,13.2,91.1,48.4,3.2,0.9,W,0
08-01-2022,30,13.7,98,59,3,1.1,W,0
09-01-2022,29.5,14.7,89,60,4.4,1.9,SE,0
10-01-2022,28.3,13.6,78,53,3.4,1.9,SE,0
11-01-2022,27.2,12.5,91,53.1,3.4,0.6,SE,0
12-01-2022,28.2,12.4,92,55,4,1.6,SE,0
13-01-2022,27.4,14.8,100,73.1,3.6,0.8,SE,0
14-01-2022,26.1,12.7,90.8,63,3,0.7,NW,0
15-01-2022,26.3,12.2,86.2,67,2,0.6,SE,0
16-01-2022,27,11.2,95,75,2.2,1.5,SE,0
17-01-2022,25.7,14.2,90.8,76.5,2,1.4,SE,0
18-01-2022,25.9,12.2,90.8,54,2,0.04,NW,0
19-01-2022,29.3,12.4,82.4,59,3.8,2,N,0
20-01-2022,30.4,12.3,86,50,4,0.3,S,0
21-01-2022,32.2,11.2,77,52,4,1.1,NW,0
22-01-2022,31.9,12.2,98,50,6.3,2.7,NW,0
23-01-2022,28.8,15.7,92,62,6.2,3.7,NW,0
24-01-2022,27.2,12.3,87,60,5.7,0.6,NW,0
25-01-2022,23.7,9.4,90,63,3,2.1,NW,0
26-01-2022,25.6,9.8,90,56.1,4.3,2.4,NW,0
27-01-2022,26.2,11.2,72,65,3.8,2.4,NW,0
28-01-2022,26.9,9.6,72,56.1,3.8,2.4,East,0
29-01-2022,27.2,9.5,80,58,4.4,2.4,East,0
30-01-2022,27.4,9.2,82,58,3.8,2.4,East,0
31-01-2022,31,10.2,89,45,4,2.4,East,0
01-02-2022,31.8,11.2,85,35.3,5,2.4,NE,0
02-02-2022,32,10,66,35,5,0.5,NW,0
03-02-2022,33.3,12.2,89,32,5.2,0.6,N,0
04-02-2022,33.4,11.2,66.1,35,5.2,2.9,NE,0
05-02-2022,30,9.7,65,56.1,5.4,1.4,S,0
06-02-2022,29.7,10.4,71,56.1,4.9,1,SE,0
